BeltSpeed,IndexSpeed,GantrySpeed1,GantrySpeed2,Makespan,Profit,Configuration
slow,slow,slow,slow,328.93,630680.5378354276,"Belt=slow, Index=slow, Gantry1=slow, Gantry2=slow"
slow,normal,slow,slow,236.062571428571,2985606.9065429084,"Belt=slow, Index=normal, Gantry1=slow, Gantry2=slow"
slow,normal,slow,normal,232.427714285714,2659752.5754665304,"Belt=slow, Index=normal, Gantry1=slow, Gantry2=normal"
slow,normal,slow,fast,231.455964285714,2423826.614754129,"Belt=slow, Index=normal, Gantry1=slow, Gantry2=fast"
slow,normal,normal,slow,219.603,3130889.4553105347,"Belt=slow, Index=normal, Gantry1=normal, Gantry2=slow"
slow,normal,normal,normal,216.470571428571,2662876.173439678,"Belt=slow, Index=normal, Gantry1=normal, Gantry2=normal"
slow,normal,normal,fast,214.641357142857,2404066.4495941065,"Belt=slow, Index=normal, Gantry1=normal, Gantry2=fast"
slow,normal,fast,slow,221.319571428571,2816398.537032308,"Belt=slow, Index=normal, Gantry1=fast, Gantry2=slow"
slow,normal,fast,normal,216.334571428571,2331141.829647206,"Belt=slow, Index=normal, Gantry1=fast, Gantry2=normal"
slow,normal,fast,fast,213.836857142857,2062380.3515416551,"Belt=slow, Index=normal, Gantry1=fast, Gantry2=fast"
slow,fast,slow,slow,231.679714285714,2902685.941505151,"Belt=slow, Index=fast, Gantry1=slow, Gantry2=slow"
slow,fast,slow,normal,229.171714285714,2441910.2697343975,"Belt=slow, Index=fast, Gantry1=slow, Gantry2=normal"
slow,fast,slow,fast,227.031142857143,2208513.1987225097,"Belt=slow, Index=fast, Gantry1=slow, Gantry2=fast"
slow,fast,normal,slow,197.250142857143,3693407.643739298,"Belt=slow, Index=fast, Gantry1=normal, Gantry2=slow"
slow,fast,normal,normal,183.410428571429,3677648.173208557,"Belt=slow, Index=fast, Gantry1=normal, Gantry2=normal"
slow,fast,normal,fast,181.88925,3420683.6418644674,"Belt=slow, Index=fast, Gantry1=normal, Gantry2=fast"
slow,fast,fast,slow,183.348714285715,4008128.8097933494,"Belt=slow, Index=fast, Gantry1=fast, Gantry2=slow"
slow,fast,fast,normal,175.810571428571,3697491.418397464,"Belt=slow, Index=fast, Gantry1=fast, Gantry2=normal"
slow,fast,fast,fast,172.3325,3507719.2393087707,"Belt=slow, Index=fast, Gantry1=fast, Gantry2=fast"
normal,slow,slow,slow,313.93,437916.61828839546,"Belt=normal, Index=slow, Gantry1=slow, Gantry2=slow"
normal,slow,slow,normal,311.844285714285,-180000.0,"Belt=normal, Index=slow, Gantry1=slow, Gantry2=normal"
normal,slow,slow,fast,311.2425,-180000.0,"Belt=normal, Index=slow, Gantry1=slow, Gantry2=fast"
normal,normal,slow,slow,225.185142857143,2907127.1036167704,"Belt=normal, Index=normal, Gantry1=slow, Gantry2=slow"
normal,normal,slow,normal,217.727428571429,2586219.4293981474,"Belt=normal, Index=normal, Gantry1=slow, Gantry2=normal"
normal,normal,slow,fast,216.691392857143,2287463.247809492,"Belt=normal, Index=normal, Gantry1=slow, Gantry2=fast"
normal,normal,normal,slow,201.82,3242120.0850396305,"Belt=normal, Index=normal, Gantry1=normal, Gantry2=slow"
normal,normal,normal,normal,199.734285714286,2601437.032360088,"Belt=normal, Index=normal, Gantry1=normal, Gantry2=normal"
normal,normal,normal,fast,199.1325,2226547.656097332,"Belt=normal, Index=normal, Gantry1=normal, Gantry2=fast"
normal,normal,fast,slow,200.245,2998353.1350339297,"Belt=normal, Index=normal, Gantry1=fast, Gantry2=slow"
normal,normal,fast,normal,198.159285714286,2272838.068449525,"Belt=normal, Index=normal, Gantry1=fast, Gantry2=normal"
normal,normal,fast,fast,197.5575,1858295.132002743,"Belt=normal, Index=normal, Gantry1=fast, Gantry2=fast"
normal,fast,slow,slow,218.715428571429,2829902.5163687207,"Belt=normal, Index=fast, Gantry1=slow, Gantry2=slow"
normal,fast,slow,normal,217.085571428572,2182062.81600512,"Belt=normal, Index=fast, Gantry1=slow, Gantry2=normal"
normal,fast,slow,fast,215.679571428572,1849538.1970622018,"Belt=normal, Index=fast, Gantry1=slow, Gantry2=fast"
normal,fast,normal,slow,171.282857142857,4183691.501398828,"Belt=normal, Index=fast, Gantry1=normal, Gantry2=slow"
normal,fast,normal,normal,164.314428571429,3796515.59341269,"Belt=normal, Index=fast, Gantry1=normal, Gantry2=normal"
normal,fast,normal,fast,163.256964285714,3461968.74056739,"Belt=normal, Index=fast, Gantry1=normal, Gantry2=fast"
normal,fast,fast,slow,161.004285714286,4347838.586387381,"Belt=normal, Index=fast, Gantry1=fast, Gantry2=slow"
normal,fast,fast,normal,157.269285714286,3761551.484125275,"Belt=normal, Index=fast, Gantry1=fast, Gantry2=normal"
normal,fast,fast,fast,156.0865,3405677.113078952,"Belt=normal, Index=fast, Gantry1=fast, Gantry2=fast"
fast,slow,slow,slow,308.93,-180000.0,"Belt=fast, Index=slow, Gantry1=slow, Gantry2=slow"
fast,slow,slow,normal,306.844285714285,-180000.0,"Belt=fast, Index=slow, Gantry1=slow, Gantry2=normal"
fast,slow,slow,fast,306.2425,-180000.0,"Belt=fast, Index=slow, Gantry1=slow, Gantry2=fast"
